Time [s];Voltage [V];Current [A]
458.5;12.966;10.5
459;12.965;10.5
459.5;12.965;10.5
460;12.965;10.5
460.5;12.965;10.5
461;12.965;10.5
461.5;12.965;10.5
462;12.965;10.5
462.5;12.965;10.5
463;12.965;10.5
463.5;12.965;10.5
464;12.965;10.5
464.5;12.965;10.5
465;12.965;10.5
465.5;12.965;10.5
466;12.965;10.5
466.5;12.964;10.5
467;12.964;10.5
467.5;12.963;10.5
468;12.963;10.5
468.5;12.963;10.5
469;12.963;10.5
469.5;12.963;10.5
470;12.963;10.5
470.5;12.963;10.5
471;12.963;10.5
471.5;12.963;10.5
472;12.963;10.5
472.5;12.963;10.5
473;12.963;10.5
473.5;12.963;10.5
474;12.963;10.5
474.5;12.963;10.5
475;12.963;10.5
475.5;12.963;10.5
476;12.963;10.5
476.5;12.963;10.5
477;12.963;10.5
477.5;12.963;10.5
478;12.963;10.5
478.5;12.963;10.5
479;12.963;10.5
479.5;12.963;10.5
480;12.963;10.5
480.5;12.963;10.5
481;12.963;10.5
481.5;12.963;10.5
482;12.963;10.5
482.5;12.963;10.5
483;12.963;10.5
483.5;12.963;10.5
484;12.963;10.5
484.5;12.962;10.5
485;12.962;10.5
485.5;12.962;10.5
486;12.963;10.5
486.5;12.963;10.5
487;12.963;10.5
487.5;12.963;10.5
488;12.963;10.5
488.5;12.963;10.5
489;12.963;10.5
489.5;12.963;10.5
490;12.963;10.5
490.5;12.963;10.5
491;12.963;10.5
491.5;12.963;10.5
492;12.963;10.5
492.5;12.963;10.5
493;12.963;10.5
493.5;12.963;10.5
494;12.963;10.5
494.5;12.962;10.5
495;12.962;10.5
495.5;12.962;10.5
496;12.962;10.5
496.5;12.962;10.5
497;12.962;10.5
497.5;12.962;10.5
498;12.962;10.5
498.5;12.962;10.5
499;12.961;10.5
499.5;12.962;10.5
500;12.962;10.5
500.5;12.962;10.5
501;12.961;10.5
501.5;12.961;10.5
502;12.961;10.5
502.5;12.961;10.5
503;12.961;10.5
503.5;12.961;10.5
504;12.961;10.5
504.5;12.96;10.5
505;12.96;10.5
505.5;12.961;10.5
506;12.961;10.5
506.5;12.961;10.5
507;12.961;10.5
507.5;12.961;10.5
508;12.961;10.5
508.5;12.961;10.5
509;12.961;10.5
509.5;12.96;10.5
510;12.96;10.5
510.5;12.961;10.5
511;12.961;10.5
511.5;12.961;10.5
512;12.961;10.5
512.5;12.961;10.5
513;12.961;10.5
513.5;12.961;10.5
514;12.961;10.5
514.5;12.961;10.5
515;12.961;10.5
515.5;12.961;10.5
516;12.961;10.5
516.5;12.961;10.5
517;12.96;10.5
517.5;12.96;10.5
518;12.96;10.5
518.5;12.961;10.5
519;12.961;10.5
519.5;12.961;10.5
520;12.961;10.5
520.5;12.961;10.5
521;12.961;10.5
521.5;12.96;10.5
522;12.959;10.5
522.5;12.959;10.5
523;12.959;10.5
523.5;12.959;10.5
524;12.959;10.5
524.5;12.959;10.5
525;12.959;10.5
525.5;12.959;10.5
526;12.959;10.5
526.5;12.959;10.5
527;12.959;10.5
527.5;12.959;10.5
528;12.959;10.5
528.5;12.959;10.5
529;12.959;10.5
529.5;12.959;10.5
530;12.959;10.5
530.5;12.958;10.5
531;12.958;10.5
531.5;12.959;10.5
532;12.959;10.5
532.5;12.959;10.5
533;12.959;10.5
533.5;12.959;10.5
534;12.959;10.5
534.5;12.959;10.5
535;12.959;10.5
535.5;12.957;10.5
536;12.958;10.5
536.5;12.958;10.5
537;12.958;10.5
537.5;12.958;10.5
538;12.958;10.5
538.5;12.958;10.5
539;12.958;10.5
539.5;12.958;10.5
540;12.958;10.5
540.5;12.958;10.5
541;12.958;10.5
541.5;12.958;10.5
542;12.958;10.5
542.5;12.958;10.5
543;12.957;10.5
543.5;12.957;10.5
544;12.957;10.5
544.5;12.957;10.5
545;12.957;10.5
545.5;12.957;10.5
546;12.957;10.5
546.5;12.957;10.5
547;12.957;10.5
547.5;12.957;10.5
548;12.957;10.5
548.5;12.957;10.5
549;12.957;10.5
549.5;12.957;10.5
550;12.957;10.5
550.5;12.957;10.5
551;12.957;10.5
551.5;12.957;10.5
552;12.957;10.5
552.5;12.957;10.5
553;12.957;10.5
553.5;12.957;10.5
554;12.957;10.5
554.5;12.957;10.5
555;12.957;10.5
555.5;12.957;10.5
556;12.957;10.5
556.5;12.957;10.5
557;12.957;10.5
557.5;12.957;10.5
558;12.957;10.5
558.5;12.957;10.5
559;12.957;10.5
559.5;12.957;10.5
560;12.957;10.5
560.5;12.957;10.5
561;12.957;10.5
561.5;12.957;10.5
562;12.957;10.5
562.5;12.957;10.5
563;12.957;10.5
563.5;12.957;10.5
564;12.957;10.5
564.5;12.957;10.5
565;12.957;10.5
565.5;12.957;10.5
566;12.957;10.5
566.5;12.957;10.5
567;12.957;10.5
567.5;12.957;10.5
568;12.957;10.5
568.5;12.957;10.5
569;12.957;10.5
569.5;12.957;10.5
570;12.956;10.5
570.5;12.955;10.5
571;12.955;10.5
571.5;12.955;10.5
572;12.955;10.5
572.5;12.955;10.5
573;12.955;10.5
573.5;12.955;10.5
574;12.955;10.5
574.5;12.956;10.5
575;12.956;10.5
575.5;12.956;10.5
576;12.955;10.5
576.5;12.955;10.5
577;12.955;10.5
577.5;12.956;10.5
578;12.956;10.5
578.5;12.956;10.5
579;12.956;10.5
579.5;12.956;10.5
580;12.956;10.5
580.5;12.956;10.5
581;12.956;10.5
581.5;12.956;10.5
582;12.956;10.5
582.5;12.956;10.5
583;12.956;10.5
583.5;12.956;10.5
584;12.956;10.5
584.5;12.956;10.5
585;12.956;10.5
585.5;12.956;10.5
586;12.956;10.5
586.5;12.955;10.5
587;12.955;10.5
587.5;12.955;10.5
588;12.955;10.5
588.5;12.955;10.5
589;12.955;10.5
589.5;12.955;10.5
590;12.955;10.5
590.5;12.955;10.5
591;12.955;10.5
591.5;12.955;10.5
592;12.955;10.5
592.5;12.955;10.5
593;12.955;10.5
593.5;12.955;10.5
594;12.955;10.5
594.5;12.955;10.5
595;12.955;10.5
595.5;12.955;10.5
596;12.955;10.5
596.5;12.955;10.5
597;12.953;10.5
597.5;12.953;10.5
598;12.953;10.5
598.5;12.953;10.5
599;12.953;10.5
599.5;12.954;10.5
600;12.954;10.5
600.5;12.954;10.5
601;12.954;10.5
601.5;12.954;10.5
602;12.954;10.5
602.5;12.954;10.5
603;12.954;10.5
603.5;12.954;10.5
604;12.954;10.5
604.5;12.954;10.5
605;12.954;10.5
605.5;12.954;10.5
606;12.954;10.5
606.5;12.954;10.5
607;12.954;10.5
607.5;12.954;10.5
608;12.954;10.5
608.5;12.954;10.5
609;12.954;10.5
609.5;12.954;10.5
610;12.954;10.5
610.5;12.954;10.5
611;12.954;10.5
611.5;12.954;10.5
612;12.954;10.5
612.5;12.954;10.5
613;12.954;10.5
613.5;12.954;10.5
614;12.954;10.5
614.5;12.954;10.5
615;12.954;10.5
615.5;12.954;10.5
616;12.954;10.5
616.5;12.954;10.5
617;12.954;10.5
617.5;12.954;10.5
618;12.954;10.5
618.5;12.954;10.5
619;12.954;10.5
619.5;12.954;10.5
620;12.954;10.5
620.5;12.954;10.5
621;12.954;10.5
621.5;12.954;10.5
622;12.954;10.5
622.5;12.954;10.5
623;12.954;10.5
623.5;12.954;10.5
624;12.954;10.5
624.5;12.954;10.5
625;12.954;10.5
625.5;12.954;10.5
626;12.954;10.5
626.5;12.954;10.5
627;12.954;10.5
627.5;12.954;10.5
628;12.954;10.5
628.5;12.954;10.5
629;12.954;10.5
629.5;12.954;10.5
630;12.954;10.5
630.5;12.954;10.5
631;12.954;10.5
631.5;12.954;10.5
632;12.954;10.5
632.5;12.954;10.5
633;12.954;10.5
633.5;12.954;10.5
634;12.953;10.5
634.5;12.953;10.5
635;12.953;10.5
635.5;12.953;10.5
636;12.953;10.5
636.5;12.953;10.5
637;12.953;10.5
637.5;12.953;10.5
638;12.953;10.5
638.5;12.953;10.5
639;12.953;10.5
639.5;12.953;10.5
640;12.953;10.5
640.5;12.953;10.5
641;12.953;10.5
641.5;12.953;10.5
642;12.953;10.5
642.5;12.953;10.5
643;12.953;10.5
643.5;12.953;10.5
644;12.953;10.5
644.5;12.953;10.5
645;12.953;10.5
645.5;12.953;10.5
646;12.953;10.5
646.5;12.953;10.5
647;12.953;10.5
647.5;12.953;10.5
648;12.953;10.5
648.5;12.953;10.5
649;12.953;10.5
649.5;12.952;10.5
650;12.952;10.5
650.5;12.952;10.5
651;12.952;10.5
651.5;12.952;10.5
652;12.952;10.5
652.5;12.952;10.5
653;12.952;10.5
653.5;12.952;10.5
654;12.952;10.5
654.5;12.952;10.5
655;12.952;10.5
655.5;12.952;10.5
656;12.952;10.5
656.5;12.952;10.5
657;12.952;10.5
657.5;12.951;10.5
658;12.952;10.5
658.5;12.952;10.5
659;12.952;10.5
659.5;12.952;10.5
660;12.952;10.5
660.5;12.952;10.5
661;12.952;10.5
661.5;12.952;10.5
662;12.952;10.5
662.5;12.952;10.5
663;12.952;10.5
663.5;12.952;10.5
664;12.952;10.5
664.5;12.952;10.5
665;12.952;10.5
665.5;12.952;10.5
666;12.952;10.5
666.5;12.952;10.5
667;12.952;10.5
667.5;12.952;10.5
668;12.952;10.5
668.5;12.952;10.5
669;12.952;10.5
669.5;12.952;10.5
670;12.951;10.5
670.5;12.951;10.5
671;12.951;10.5
671.5;12.951;10.5
672;12.951;10.5
672.5;12.951;10.5
673;12.951;10.5
673.5;12.951;10.5
674;12.951;10.5
674.5;12.951;10.5
675;12.951;10.5
675.5;12.951;10.5
676;12.951;10.5
676.5;12.951;10.5
677;12.951;10.5
677.5;12.951;10.5
678;12.951;10.5
678.5;12.951;10.5
679;12.951;10.5
679.5;12.951;10.5
680;12.951;10.5
680.5;12.951;10.5
681;12.951;10.5
681.5;12.951;10.5
682;12.951;10.5
682.5;12.951;10.5
683;12.951;10.5
683.5;12.951;10.5
684;12.951;10.5
