Time [s];Cella hõmérséklete [°C];Szoba hõmérséklete [°C]
275.9;23.7;23.53
276.3;23.7;23.53
276.7;23.7;23.53
277.1;23.7;23.53
277.5;23.7;23.53
277.9;23.7;23.53
278.4;23.7;23.53
278.8;23.7;23.53
279.2;23.7;23.53
279.6;23.7;23.53
280;23.7;23.53
280.4;23.7;23.53
280.8;23.7;23.53
281.2;23.7;23.53
281.6;23.7;23.53
282;23.7;23.53
282.4;23.7;23.53
282.8;23.7;23.53
283.3;23.7;23.53
283.7;23.7;23.53
284.1;23.7;23.53
284.5;23.7;23.53
284.9;23.7;23.53
285.3;23.7;23.53
285.7;23.7;23.53
286.1;23.7;23.53
286.5;23.7;23.53
286.9;23.7;23.53
287.3;23.7;23.53
287.7;23.7;23.53
288.1;23.7;23.53
288.5;23.7;23.53
289;23.7;23.53
289.4;23.7;23.53
289.8;23.7;23.53
290.2;23.7;23.53
290.6;23.7;23.53
291;23.7;23.53
291.4;23.7;23.53
291.8;23.7;23.53
292.2;23.7;23.53
292.6;23.7;23.53
293;23.7;23.53
293.4;23.7;23.53
293.9;23.7;23.53
294.3;23.7;23.53
294.7;23.7;23.53
295.1;23.7;23.53
295.5;23.7;23.53
295.9;23.7;23.53
296.3;23.7;23.53
296.7;23.7;23.53
297.1;23.7;23.53
297.5;23.7;23.53
297.9;23.7;23.53
298.3;23.7;23.53
298.7;23.7;23.53
299.2;23.7;23.53
299.6;23.7;23.53
300;23.7;23.53
300.4;23.7;23.53
300.8;23.7;23.53
301.2;23.7;23.53
301.6;23.7;23.53
302;23.7;23.53
302.4;23.7;23.53
302.8;23.7;23.53
303.2;23.7;23.53
303.6;23.7;23.53
304;23.7;23.53
304.4;23.7;23.53
304.9;23.7;23.53
305.3;23.7;23.53
305.7;23.7;23.44
306.1;23.7;23.53
306.5;23.7;23.53
306.9;23.7;23.53
307.3;23.7;23.53
307.7;23.7;23.53
308.1;23.7;23.53
308.5;23.7;23.53
308.9;23.7;23.53
309.3;23.7;23.53
309.7;23.7;23.53
310.2;23.7;23.53
310.6;23.7;23.53
311;23.7;23.53
311.4;23.7;23.53
311.8;23.7;23.53
312.2;23.7;23.53
312.6;23.7;23.53
313;23.7;23.53
313.4;23.7;23.53
313.8;23.7;23.53
314.2;23.7;23.53
314.6;23.7;23.53
315;23.7;23.53
315.5;23.7;23.53
315.9;23.7;23.53
316.3;23.7;23.53
316.7;23.7;23.53
317.1;23.7;23.53
317.5;23.7;23.53
317.9;23.7;23.53
318.3;23.7;23.53
318.7;23.7;23.53
319.1;23.7;23.53
319.5;23.7;23.53
319.9;23.7;23.53
320.3;23.7;23.53
320.8;23.7;23.53
321.2;23.7;23.53
321.6;23.7;23.53
322;23.7;23.53
322.4;23.79;23.53
