Time [s];Cell_1 Volatge [V];Cell_2 Volatge [V];Cell_3 Volatge [V];Cell_4 Volatge [V]
154.1;3.335;3.335;3.335;3.369
154.5;3.335;3.335;3.33;3.369
154.9;3.335;3.335;3.335;3.369
155.3;3.335;3.33;3.335;3.369
155.8;3.335;3.335;3.335;3.369
156.2;3.33;3.335;3.335;3.369
156.6;3.33;3.335;3.335;3.364
157;3.33;3.33;3.33;3.369
157.4;3.33;3.335;3.33;3.364
157.9;3.33;3.33;3.335;3.364
158.3;3.33;3.33;3.335;3.369
158.7;3.325;3.33;3.335;3.369
159.1;3.33;3.335;3.33;3.374
159.5;3.325;3.33;3.335;3.364
159.9;3.325;3.335;3.33;3.359
160.4;3.325;3.325;3.335;3.364
160.8;3.325;3.325;3.33;3.364
161.2;3.32;3.335;3.33;3.364
161.6;3.33;3.33;3.33;3.364
162;3.33;3.33;3.33;3.359
162.5;3.325;3.33;3.325;3.359
162.9;3.325;3.33;3.33;3.359
163.3;3.325;3.33;3.32;3.364
163.7;3.325;3.325;3.33;3.359
164.1;3.325;3.325;3.33;3.364
164.5;3.325;3.33;3.325;3.354
165;3.325;3.33;3.325;3.359
165.4;3.325;3.325;3.33;3.359
165.8;3.33;3.32;3.33;3.359
166.2;3.325;3.325;3.33;3.359
166.6;3.33;3.33;3.325;3.359
167.1;3.33;3.325;3.33;3.359
167.5;3.325;3.33;3.33;3.359
167.9;3.32;3.32;3.325;3.359
168.3;3.32;3.325;3.325;3.359
168.7;3.325;3.325;3.32;3.354
169.1;3.325;3.325;3.325;3.359
169.6;3.325;3.33;3.325;3.359
170;3.325;3.325;3.325;3.359
170.4;3.32;3.325;3.325;3.359
170.8;3.325;3.325;3.33;3.359
171.2;3.325;3.325;3.325;3.359
171.6;3.32;3.32;3.32;3.354
172.1;3.315;3.33;3.325;3.354
172.5;3.325;3.325;3.325;3.354
172.9;3.325;3.32;3.33;3.354
173.3;3.325;3.32;3.325;3.354
173.7;3.32;3.32;3.325;3.354
174.2;3.32;3.325;3.32;3.354
174.6;3.315;3.32;3.325;3.354
175;3.315;3.325;3.325;3.354
175.4;3.315;3.32;3.325;3.354
175.8;3.32;3.32;3.325;3.354
176.3;3.32;3.32;3.325;3.354
176.7;3.32;3.32;3.325;3.354
177.1;3.32;3.325;3.325;3.354
177.5;3.315;3.325;3.325;3.354
177.9;3.32;3.32;3.325;3.354
178.3;3.32;3.32;3.32;3.354
178.8;3.315;3.32;3.32;3.354
179.2;3.32;3.32;3.32;3.35
179.6;3.315;3.325;3.32;3.354
180;3.32;3.315;3.32;3.354
180.4;3.32;3.32;3.33;3.35
180.8;3.32;3.32;3.32;3.35
181.3;3.315;3.32;3.32;3.35
181.7;3.32;3.32;3.32;3.35
182.1;3.315;3.32;3.315;3.345
182.5;3.315;3.315;3.32;3.35
182.9;3.315;3.32;3.325;3.35
183.4;3.315;3.315;3.32;3.35
183.8;3.315;3.32;3.315;3.35
184.2;3.315;3.32;3.32;3.34
184.6;3.32;3.315;3.32;3.35
185;3.32;3.32;3.32;3.35
185.5;3.315;3.32;3.32;3.35
185.9;3.315;3.315;3.32;3.354
186.3;3.315;3.315;3.315;3.35
186.7;3.32;3.315;3.32;3.345
187.1;3.306;3.32;3.315;3.345
187.5;3.32;3.32;3.32;3.345
188;3.315;3.315;3.32;3.345
188.4;3.311;3.315;3.32;3.35
188.8;3.325;3.315;3.315;3.35
189.2;3.311;3.32;3.315;3.35
189.6;3.311;3.315;3.315;3.345
190.1;3.315;3.315;3.315;3.345
190.5;3.315;3.315;3.315;3.35
190.9;3.315;3.315;3.32;3.35
191.3;3.311;3.315;3.315;3.34
191.7;3.315;3.315;3.315;3.345
192.1;3.315;3.315;3.32;3.345
192.6;3.311;3.315;3.315;3.345
193;3.315;3.315;3.315;3.345
193.4;3.315;3.315;3.311;3.345
193.8;3.315;3.311;3.315;3.345
194.2;3.311;3.311;3.315;3.345
194.7;3.311;3.311;3.315;3.35
195.1;3.311;3.311;3.311;3.34
195.5;3.311;3.315;3.32;3.345
195.9;3.311;3.311;3.315;3.35
196.3;3.315;3.315;3.311;3.345
196.8;3.315;3.315;3.311;3.345
197.2;3.311;3.311;3.311;3.345
197.6;3.311;3.311;3.315;3.345
198;3.311;3.311;3.315;3.34
198.4;3.315;3.311;3.32;3.35
198.8;3.311;3.311;3.315;3.345
199.3;3.306;3.315;3.311;3.345
199.7;3.311;3.306;3.315;3.34
200.1;3.311;3.315;3.311;3.345
200.5;3.301;3.311;3.311;3.345
200.9;3.311;3.311;3.315;3.345
201.3;3.311;3.311;3.315;3.345
201.8;3.311;3.315;3.311;3.34
202.2;3.311;3.311;3.311;3.34
202.6;3.311;3.311;3.311;3.34
203;3.306;3.311;3.315;3.34
203.4;3.311;3.311;3.315;3.34
203.9;3.311;3.311;3.311;3.34
204.3;3.306;3.306;3.311;3.345
204.7;3.306;3.311;3.311;3.34
205.1;3.306;3.311;3.315;3.34
205.5;3.306;3.306;3.311;3.34
206;3.301;3.311;3.311;3.34
206.4;3.306;3.311;3.32;3.345
206.8;3.301;3.306;3.315;3.345
207.2;3.311;3.311;3.311;3.34
207.6;3.311;3.311;3.311;3.34
208;3.306;3.306;3.311;3.34
208.5;3.306;3.311;3.311;3.335
208.9;3.306;3.311;3.315;3.34
209.3;3.311;3.311;3.311;3.345
209.7;3.311;3.306;3.311;3.34
210.1;3.306;3.311;3.311;3.34
210.5;3.306;3.306;3.311;3.335
211;3.301;3.311;3.311;3.335
211.4;3.306;3.311;3.311;3.335
211.8;3.301;3.311;3.311;3.34
212.2;3.306;3.306;3.311;3.335
212.6;3.301;3.311;3.311;3.335
213.1;3.306;3.306;3.315;3.34
213.5;3.306;3.311;3.311;3.335
213.9;3.311;3.306;3.311;3.34
214.3;3.306;3.306;3.315;3.34
214.7;3.306;3.311;3.311;3.34
215.1;3.306;3.306;3.311;3.335
215.6;3.306;3.306;3.311;3.34
216;3.311;3.306;3.311;3.335
216.4;3.306;3.311;3.311;3.34
216.8;3.306;3.306;3.306;3.345
217.2;3.306;3.311;3.311;3.34
217.7;3.306;3.311;3.311;3.34
218.1;3.311;3.306;3.311;3.335
218.5;3.306;3.306;3.306;3.335
218.9;3.306;3.311;3.311;3.33
219.3;3.306;3.306;3.306;3.34
219.7;3.306;3.306;3.306;3.335
220.2;3.306;3.306;3.311;3.335
220.6;3.306;3.306;3.306;3.335
221;3.306;3.311;3.311;3.34
221.4;3.301;3.306;3.311;3.34
221.8;3.306;3.306;3.306;3.335
222.3;3.311;3.306;3.311;3.33
222.7;3.301;3.306;3.306;3.335
223.1;3.306;3.306;3.306;3.335
223.5;3.306;3.306;3.306;3.33
223.9;3.306;3.306;3.311;3.335
224.3;3.311;3.306;3.311;3.335
224.8;3.306;3.306;3.311;3.335
225.2;3.306;3.306;3.311;3.34
225.6;3.311;3.311;3.301;3.335
226;3.301;3.306;3.306;3.33
226.4;3.306;3.306;3.306;3.335
226.9;3.306;3.306;3.311;3.335
227.3;3.301;3.306;3.306;3.335
227.7;3.301;3.306;3.311;3.335
228.1;3.306;3.311;3.306;3.335
228.5;3.306;3.301;3.306;3.335
229;3.306;3.306;3.311;3.335
229.4;3.301;3.306;3.306;3.34
229.8;3.301;3.301;3.306;3.33
230.2;3.301;3.301;3.306;3.33
230.6;3.306;3.306;3.311;3.335
231;3.306;3.306;3.306;3.335
231.5;3.301;3.301;3.301;3.33
231.9;3.301;3.306;3.306;3.335
232.3;3.301;3.306;3.306;3.335
232.7;3.301;3.306;3.306;3.335
233.1;3.301;3.306;3.306;3.335
233.6;3.306;3.306;3.306;3.34
234;3.301;3.301;3.306;3.33
234.4;3.301;3.306;3.306;3.33
234.8;3.306;3.301;3.306;3.335
235.2;3.301;3.306;3.306;3.335
235.6;3.301;3.306;3.311;3.33
236.1;3.306;3.311;3.311;3.335
236.5;3.301;3.301;3.311;3.33
236.9;3.301;3.306;3.306;3.335
237.3;3.301;3.301;3.306;3.33
237.7;3.306;3.301;3.306;3.335
238.1;3.306;3.301;3.306;3.33
238.6;3.301;3.306;3.306;3.33
239;3.301;3.306;3.306;3.335
239.4;3.306;3.301;3.301;3.335
239.8;3.306;3.301;3.306;3.335
240.2;3.306;3.306;3.306;3.33
240.7;3.306;3.301;3.306;3.335
241.1;3.301;3.301;3.306;3.335
241.5;3.301;3.306;3.301;3.33
241.9;3.306;3.306;3.306;3.33
242.3;3.301;3.301;3.306;3.33
242.8;3.296;3.301;3.306;3.33
243.2;3.296;3.306;3.306;3.33
243.6;3.296;3.301;3.301;3.335
244;3.301;3.301;3.306;3.33
244.4;3.306;3.301;3.306;3.33
244.8;3.301;3.301;3.301;3.33
245.3;3.296;3.296;3.306;3.33
245.7;3.306;3.306;3.306;3.33
246.1;3.301;3.301;3.306;3.325
246.5;3.301;3.301;3.306;3.33
246.9;3.301;3.301;3.306;3.33
247.4;3.301;3.301;3.306;3.33
247.8;3.301;3.301;3.306;3.325
248.2;3.301;3.306;3.301;3.335
248.6;3.296;3.301;3.301;3.33
249;3.301;3.301;3.306;3.33
249.4;3.301;3.301;3.306;3.33
249.9;3.301;3.301;3.301;3.335
250.3;3.296;3.306;3.301;3.33
250.7;3.301;3.301;3.306;3.325
251.1;3.296;3.301;3.306;3.325
251.5;3.301;3.301;3.301;3.33
252;3.306;3.301;3.306;3.33
252.4;3.296;3.301;3.306;3.325
252.8;3.306;3.301;3.301;3.335
253.2;3.296;3.296;3.301;3.33
253.6;3.301;3.296;3.301;3.33
254;3.301;3.301;3.301;3.33
254.5;3.296;3.301;3.306;3.33
254.9;3.301;3.301;3.301;3.33
255.3;3.301;3.301;3.301;3.33
255.7;3.301;3.301;3.306;3.33
256.1;3.296;3.306;3.301;3.33
256.6;3.311;3.296;3.301;3.33
257;3.301;3.301;3.301;3.33
257.4;3.296;3.301;3.301;3.33
257.8;3.301;3.301;3.301;3.33
258.2;3.301;3.306;3.301;3.325
258.6;3.296;3.301;3.301;3.33
259.1;3.296;3.301;3.301;3.33
259.5;3.306;3.296;3.306;3.325
259.9;3.296;3.301;3.301;3.325
260.3;3.301;3.301;3.301;3.325
260.7;3.306;3.301;3.301;3.325
261.2;3.296;3.301;3.301;3.325
261.6;3.301;3.301;3.306;3.33
262;3.296;3.301;3.301;3.33
262.4;3.296;3.301;3.301;3.32
262.8;3.301;3.296;3.301;3.325
263.2;3.296;3.296;3.301;3.32
263.7;3.296;3.301;3.301;3.325
264.1;3.296;3.296;3.301;3.33
264.5;3.301;3.301;3.306;3.325
264.9;3.296;3.306;3.296;3.33
265.3;3.296;3.301;3.301;3.33
265.8;3.301;3.301;3.301;3.33
266.2;3.301;3.301;3.301;3.325
266.6;3.301;3.301;3.296;3.325
267;3.296;3.296;3.301;3.33
267.4;3.296;3.296;3.301;3.325
267.8;3.296;3.301;3.301;3.325
268.3;3.301;3.296;3.301;3.325
268.7;3.301;3.301;3.301;3.33
269.1;3.296;3.301;3.306;3.325
269.5;3.296;3.296;3.296;3.32
269.9;3.301;3.301;3.306;3.325
270.3;3.301;3.296;3.301;3.325
270.8;3.296;3.301;3.301;3.33
271.2;3.296;3.296;3.296;3.325
271.6;3.296;3.296;3.301;3.32
272;3.296;3.296;3.301;3.33
272.4;3.296;3.301;3.306;3.33
272.9;3.301;3.296;3.301;3.325
273.3;3.306;3.301;3.301;3.325
273.7;3.296;3.301;3.301;3.325
274.1;3.296;3.301;3.301;3.33
274.5;3.301;3.296;3.301;3.325
274.9;3.296;3.296;3.301;3.33
275.4;3.296;3.296;3.301;3.32
275.8;3.301;3.296;3.296;3.325
276.2;3.296;3.296;3.296;3.325
276.6;3.291;3.296;3.301;3.32
277;3.301;3.296;3.301;3.325
277.5;3.296;3.291;3.296;3.32
277.9;3.296;3.296;3.301;3.325
278.3;3.296;3.301;3.301;3.325
278.7;3.296;3.301;3.296;3.325
279.1;3.296;3.296;3.296;3.32
279.6;3.296;3.296;3.296;3.33
280;3.291;3.296;3.296;3.32
280.4;3.296;3.301;3.301;3.32
280.8;3.301;3.301;3.301;3.325
281.2;3.296;3.296;3.296;3.325
281.6;3.296;3.296;3.301;3.325
