Time [s];Voltage [V];Current [A]
225.2;3.44;5
225.6;3.44;5
226;3.44;5
226.4;3.44;5
226.8;3.44;5
227.2;3.44;5
227.6;3.44;5
228;3.44;5
228.4;3.44;5
228.8;3.44;5
229.2;3.44;5
229.6;3.44;5
230;3.44;5
230.5;3.44;5
230.9;3.44;5
231.3;3.44;5
231.7;3.44;5
232.1;3.44;5
232.5;3.44;5
232.9;3.44;5
233.3;3.44;5
233.7;3.44;5
234.1;3.44;5
234.5;3.44;5
234.9;3.44;5
235.3;3.44;5
235.7;3.44;5
236.2;3.44;5
236.6;3.44;5
237;3.44;5
237.4;3.44;5
237.8;3.44;5
238.2;3.44;5
238.6;3.44;5
239;3.44;5
239.4;3.44;5
239.8;3.44;5
240.2;3.44;5
240.6;3.44;5
241.1;3.44;5
241.5;3.44;5
241.9;3.44;5
242.3;3.44;5
242.7;3.44;5
243.1;3.44;5
243.5;3.44;5
243.9;3.45;5
244.3;3.45;5
244.7;3.45;5
245.1;3.45;5
245.5;3.45;5
245.9;3.45;5
246.3;3.45;5
246.8;3.45;5
247.2;3.45;5
247.6;3.45;5
248;3.45;5
248.4;3.45;5
248.8;3.45;5
249.2;3.45;5
249.6;3.45;5
250;3.45;5
250.4;3.45;5
250.8;3.45;5
251.2;3.45;5
251.7;3.45;5
252.1;3.45;5
252.5;3.45;5
252.9;3.45;5
253.3;3.45;5
253.7;3.45;5
254.1;3.45;5
254.5;3.45;5
254.9;3.45;5
255.3;3.45;5
255.7;3.45;5
256.1;3.45;5
256.5;3.45;5
257;3.45;5
257.4;3.45;5
257.8;3.45;5
258.2;3.45;5
258.6;3.45;5
259;3.45;5
259.4;3.45;5
259.8;3.45;5
260.2;3.45;5
260.6;3.45;5
261;3.45;5
261.4;3.45;5
261.8;3.45;5
262.2;3.45;5
262.6;3.45;5
263.1;3.45;5
263.5;3.45;5
263.9;3.45;5
264.3;3.45;5
264.7;3.45;5
265.1;3.45;5
265.5;3.45;5
265.9;3.45;5
266.3;3.45;5
266.7;3.45;5
267.1;3.45;5
267.5;3.45;5
268;3.45;5
268.4;3.45;5
268.8;3.45;5
269.2;3.45;5
269.6;3.45;5
270;3.45;5
270.4;3.45;5
270.8;3.45;5
271.2;3.45;5
271.6;3.45;5
272;3.45;5
272.4;3.45;5
272.8;3.45;5
273.2;3.45;5
273.7;3.45;5
274.1;3.45;5
274.5;3.45;5
274.9;3.45;5
275.3;3.45;5
275.7;3.45;5
276.1;3.45;5
276.5;3.45;5
276.9;3.45;5
277.3;3.45;5
277.7;3.45;5
278.2;3.45;5
278.6;3.45;5
279;3.45;5
279.4;3.45;5
279.8;3.45;5
280.2;3.45;5
280.6;3.45;5
281;3.45;5
281.4;3.45;5
281.8;3.45;5
282.2;3.45;5
282.6;3.45;5
283;3.45;5
283.4;3.45;5
283.8;3.45;5
284.3;3.45;5
284.7;3.45;5
285.1;3.45;5
285.5;3.45;5
285.9;3.45;5
286.3;3.45;5
286.7;3.45;5
287.1;3.45;5
287.5;3.45;5
287.9;3.45;5
288.3;3.45;5
288.7;3.45;5
289.1;3.45;5
289.6;3.45;5
290;3.45;5
290.4;3.45;5
290.8;3.45;5
291.2;3.45;5
291.6;3.45;5
292;3.45;5
292.4;3.45;5
292.8;3.45;5
293.2;3.45;5
293.6;3.45;5
294;3.45;5
294.4;3.45;5
294.9;3.45;5
295.3;3.45;5
295.7;3.45;5
296.1;3.45;5
296.5;3.45;5
296.9;3.45;5
297.3;3.45;5
297.7;3.45;5
298.1;3.45;5
298.5;3.45;5
298.9;3.45;5
299.3;3.45;5
299.8;3.45;5
300.2;3.45;5
300.6;3.45;5
301;3.45;5
301.4;3.45;5
301.8;3.45;5
302.2;3.45;5
302.6;3.45;5
303;3.45;5
303.4;3.45;5
303.8;3.45;5
304.2;3.45;5
304.6;3.45;5
305.1;3.45;5
305.5;3.45;5
305.9;3.45;5
306.3;3.45;5
306.7;3.45;5
307.1;3.45;5
307.5;3.45;5
307.9;3.45;5
308.3;3.45;5
308.7;3.45;5
309.1;3.45;5
309.5;3.45;5
309.9;3.45;5
310.4;3.45;5
310.8;3.45;5
311.2;3.45;5
311.6;3.45;5
312;3.45;5
312.4;3.45;5
312.8;3.45;5
313.2;3.45;5
313.6;3.45;5
314;3.45;5
314.4;3.45;5
314.8;3.45;5
315.2;3.45;5
315.7;3.45;5
316.1;3.45;5
316.5;3.45;5
316.9;3.45;5
317.3;3.45;5
317.7;3.45;5
318.1;3.45;5
318.5;3.45;5
318.9;3.45;5
319.3;3.45;5
319.7;3.45;5
320.1;3.45;5
320.5;3.45;5
320.9;3.46;5
321.4;3.46;5
321.8;3.46;5
322.2;3.46;5
322.6;3.46;5
323;3.46;5
323.4;3.46;5
323.8;3.46;5
324.2;3.46;5
324.6;3.46;5
325;3.46;5
325.4;3.46;5
325.9;3.46;5
326.2;3.46;5
326.7;3.46;5
327.1;3.46;5
327.5;3.46;5
327.9;3.46;5
328.3;3.46;5
328.7;3.46;5
329.1;3.46;5
329.5;3.46;5
329.9;3.46;5
330.3;3.46;5
330.7;3.46;5
331.1;3.46;5
331.6;3.46;5
332;3.46;5
332.4;3.46;5
332.8;3.46;5
333.2;3.46;5
333.6;3.46;5
334;3.46;5
334.4;3.46;5
334.8;3.46;5
335.2;3.46;5
335.6;3.46;5
336;3.46;5
336.4;3.46;5
336.9;3.46;5
337.2;3.46;5
337.7;3.46;5
338.1;3.46;5
338.5;3.46;5
338.9;3.46;5
339.3;3.46;5
339.7;3.46;5
340.1;3.46;5
340.5;3.46;5
340.9;3.46;5
341.3;3.46;5
341.7;3.46;5
342.1;3.46;5
342.6;3.46;5
343;3.46;5
343.4;3.46;5
343.8;3.46;5
344.2;3.46;5
344.6;3.46;5
345;3.46;5
345.4;3.46;5
345.8;3.46;5
346.2;3.46;5
346.6;3.46;5
347;3.46;5
347.5;3.46;5
347.8;3.46;5
348.3;3.46;5
348.7;3.46;5
349.1;3.46;5
349.5;3.46;5
349.9;3.46;5
350.3;3.46;5
350.7;3.46;5
351.1;3.46;5
351.5;3.46;5
351.9;3.46;5
352.3;3.46;5
352.7;3.46;5
353.2;3.46;5
353.6;3.46;5
354;3.46;5
354.4;3.46;5
354.8;3.46;5
355.2;3.46;5
355.6;3.46;5
356;3.46;5
356.4;3.46;5
356.8;3.46;5
357.2;3.46;5
357.6;3.46;5
358;3.46;5
358.5;3.46;5
358.9;3.46;5
359.3;3.46;5
359.7;3.46;5
360.1;3.46;5
360.5;3.46;5
360.9;3.46;5
361.3;3.46;5
361.7;3.46;5
362.1;3.46;5
362.5;3.46;5
362.9;3.46;5
363.3;3.46;5
363.8;3.46;5
364.2;3.46;5
364.6;3.46;5
365;3.46;5
365.4;3.46;5
365.8;3.46;5
366.2;3.46;5
366.6;3.46;5
367;3.46;5
367.4;3.46;5
367.8;3.46;5
368.2;3.46;5
368.6;3.46;5
369;3.46;5
369.5;3.46;5
369.9;3.46;5
370.3;3.46;5
370.7;3.46;5
371.1;3.46;5
371.5;3.46;5
371.9;3.46;5
372.3;3.46;5
372.7;3.46;5
373.1;3.46;5
373.5;3.46;5
373.9;3.46;5
374.4;3.46;5
374.8;3.46;5
375.2;3.46;5
375.6;3.46;5
376;3.46;5
376.4;3.46;5
376.8;3.46;5
377.2;3.46;5
377.6;3.46;5
378;3.46;5
378.4;3.46;5
378.8;3.46;5
379.2;3.46;5
379.7;3.46;5
380.1;3.46;5
380.5;3.46;5
380.9;3.46;5
381.3;3.46;5
381.7;3.46;5
382.1;3.46;5
382.5;3.46;5
382.9;3.46;5
383.3;3.46;5
383.7;3.46;5
384.1;3.46;5
384.5;3.46;5
384.9;3.46;5
385.4;3.46;5
385.8;3.46;5
386.2;3.46;5
386.6;3.46;5
387;3.46;5
387.4;3.46;5
387.8;3.46;5
388.2;3.46;5
388.6;3.46;5
389;3.46;5
389.4;3.46;5
389.8;3.46;5
390.2;3.46;5
390.7;3.46;5
391.1;3.46;5
391.5;3.46;5
391.9;3.46;5
392.3;3.46;5
392.7;3.46;5
393.1;3.46;5
393.5;3.46;5
393.9;3.46;5
394.3;3.46;5
394.7;3.46;5
395.1;3.46;5
395.6;3.46;5
396;3.46;5
396.4;3.46;5
396.8;3.46;5
397.2;3.46;5
397.6;3.46;5
398;3.46;5
398.4;3.46;5
398.8;3.46;5
399.2;3.46;5
399.6;3.46;5
400;3.46;5
400.4;3.46;5
400.9;3.46;5
401.3;3.46;5
401.7;3.46;5
402.1;3.46;5
402.5;3.46;5
402.9;3.46;5
403.3;3.46;5
403.7;3.46;5
404.1;3.46;5
404.5;3.46;5
404.9;3.46;5
405.3;3.46;5
405.7;3.46;5
406.2;3.46;5
